Symbol,Date,Open,High,Low,Close,Volume
BATA,2014,647,670,645,657.42,727
BATA,2014,655,659.98,648,648.16,310
BATA,2014,648.16,680.56,635.01,649.99,1014
BATA,2014,640,659.5,640,647.91,466
BATA,2014,647.91,660,645.09,649.92,250
BATA,2014,654,660,650,650.05,551
BATA,2014,650,654,649,650.18,1602
BATA,2014,682.68,682.68,650,650.89,208
BATA,2014,683,683,650,650.01,220
BATA,2014,668,668,659.88,661.55,44
BATA,2014,679,679,659,660.02,357
BATA,2014,680,680,660,663.3,170
BATA,2014,696.45,696.45,670,675.42,183
BATA,2014,709,709,676.01,682.48,182
BATA,2014,716,716,652,679.02,77
BATA,2014,700,700,650,658.74,74
BATA,2014,690,690,631,631.35,312
BATA,2014,615.05,662.5,615.05,657.82,225
BATA,2014,688,688,630,636.71,8323
BATA,2014,662,662,640,640,12
BATA,2014,672,672,649.98,650,1502
BATA,2014,682.25,682.25,650,650.07,645
BATA,2014,649.99,660,630,649.3,3279
BATA,2014,679.99,680,650,650,403
BATA,2014,682.49,682.49,645,645.19,118
BATA,2014,677.44,677.44,645,654.07,115
BATA,2014,684.99,684.99,654.07,654.07,1
BATA,2014,686.77,686.77,650,652.92,39
BATA,2014,684,684,652.92,652.92,3
BATA,2014,679.98,679.98,650,650.03,218
BATA,2014,674.99,674.99,650,650,526
BATA,2014,680,680,650,650.34,421
BATA,2014,682.85,682.85,650,650,553
BATA,2014,678,678,650,650,303
BATA,2014,679.99,679.99,650,651.77,545
BATA,2014,684.35,684.35,651.77,651.77,11
BATA,2014,670,670,651.77,651.77,1
BATA,2014,680,680,651.77,651.77,1
BATA,2014,665,665,651.77,651.77,2
BATA,2014,665,665,651.77,651.77,1
BATA,2014,637,637,620,620.46,500
BATA,2014,590,650.5,590,650,124
BATA,2014,650,656,650,651.25,62
BATA,2014,650,650,650,650,352
BATA,2014,650,667.09,650,655.01,2332
BATA,2014,650,687.76,649.99,687.76,7440
BATA,2014,720,720,675,687,996
BATA,2014,718,718,685,713.8,47
BATA,2014,720,720,678.11,678.18,702
BATA,2014,712.08,712.08,655.03,678.18,6
BATA,2014,675,688,645,675.12,522
BATA,2014,708.8,708.8,671,675.12,14
BATA,2014,708.87,708.87,675.12,675.12,12
BATA,2014,708.87,708.87,689,706.01,301
BATA,2014,706.1,725,700,700.35,106
BATA,2014,735,735,700,700,106
BATA,2014,700,700,700,700,1
BATA,2014,671,699.98,670,699.98,2004
BATA,2014,675,734.97,675,700,653
BATA,2014,705,713,676,710.95,3048
BATA,2014,700,700.09,700,700,180
BATA,2014,700,720,700,700.11,201
BATA,2014,700,735.11,700,726.42,1216
BATA,2014,691,762.74,691,762.74,1028
BATA,2014,775,800.87,740.63,800.87,2148
BATA,2014,840,840,775,795.53,90
BATA,2014,790,835,755.76,804.69,3906
BATA,2014,844,844.92,785,844.92,2034
BATA,2014,884,887.16,803,819.2,216
BATA,2014,810,850,779,785.18,130
BATA,2014,790,824.43,790,819.68,619
BATA,2014,790,859,790,841.18,1138
BATA,2014,840,848,800,820.72,1285
BATA,2014,792,861.75,792,832.39,2515
BATA,2014,801.01,801.01,791,797.9,227
BATA,2014,797.9,797.9,765,797.9,25
BATA,2014,837,837,758.02,775,1197
BATA,2014,775.01,813.75,775,812.31,276
BATA,2014,825,825,800,812.31,3
BATA,2014,790,790,790,790,400
BATA,2014,780.01,780.01,780.01,780.01,44
BATA,2014,775.01,780.01,775.01,780.01,18
BATA,2014,819.01,819.01,780.01,780.01,1
BATA,2014,780.01,780.01,741.01,747.72,2200
BATA,2014,720,720,710.34,710.34,340
BATA,2014,745,745.85,745,745.07,109
BATA,2014,780,782,708,770,11805
BATA,2014,799,799,740,788.74,131
BATA,2014,750,750,749.31,749.31,54
BATA,2014,749.31,749.31,711.85,715.76,1108
BATA,2014,730,751,730,730.7,272
BATA,2014,715,765,715,760.26,628
BATA,2014,733,797,733,778.74,379
BATA,2014,740,815,740,778.74,4
BATA,2014,795,795,740,778.74,28
BATA,2014,780,780,740,778.74,31
BATA,2014,778.74,778.74,763,778.74,5
BATA,2014,765,800,739.81,778.74,23
BATA,2014,740,800,740,778.74,5
BATA,2014,768,778.74,739.81,778.74,2
BATA,2014,740,778.74,740,778.74,3
BATA,2014,760,778.74,739.99,778.74,11
BATA,2014,760,780,740,778.74,13
BATA,2014,765,778.74,765,778.74,1
BATA,2014,770,778.74,770,778.74,3
BATA,2014,775,800,775,794.29,50
